,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
38,TPM4,SLC39A14,LHFPL2,IGFBP6,NPTX2,CXCL13,RPS27A,NCF1,RPS5,TMEM196,TGFBI,EPAS1,COL5A2,IKZF1
39,ACTG1,SIGLEC1,ALDH2,MALAT1,NSUN5,NDUFA2,MT-CO2,S100A8,UBA52,TAC1,C1R,MMRN2,CFD,SCT
40,SPARC,C1QB,MT-CO3,SPON1,COL6A3,MT-ND4,SLC25A6,RPL37A,RPL35,MTUS2,MS4A4A,CARMN,IGFBP4,SPOCK2
41,UBC,MVP,HLA-DPB1,IGHG4,FTL,GRN,ALDOA,MT-CO2,COL1A1,GJB6,BLVRB,DIPK2B,HLA-DRB1,GOLGA8B
42,ARPC1B,CRLF1,LYZ,CHAD,AHR,C1QB,RPL22,C1QA,CTSL,PCSK6,LILRB5,EMCN,RPL17,TMC8
43,CFL1,TPI1,LTBP2,THBS4,RPL13,MORF4L1,MT2A,RPS12,RPL31,VKORC1,HLA-DPB1,HYAL2,ADAMTS15,RPL17
44,TXNDC5,RPS27,RPS3A,TAGLN,PTGIS,PEBP1,FCER1G,CTSL,RPS9,LBP,AIF1,MYLK,LTBP4,IL2RG
45,SEC11C,SELENOP,FMNL2,EDIL3,IGHG4,PLEC,TMEM256,C1R,CST3,MT1M,MT-ATP6,MYH9,COL5A1,AC004687.1
46,TSPO,SELENOM,VSIG4,TM4SF1,CTSS,CD63,TXNDC5,ALDH1A1,RPS20,CLU,SMPDL3A,FLT1,DPYSL3,CCR7
47,TIMP1,EEF2,RPL39,PRG4,C1QB,C1QA,RPS23,RPL30,RPS21,ANKH,CPVL,TPM2,PLTP,JAK3
48,S100A10,CTSB,GRB2,NFIX,MT2A,SUMO2,CCL5,RHOB,S100A8,KYNU,DPT,CD59,MFAP2,SOCS1
49,C1QA,RPS23,C1QC,LHFPL6,HLA-A,SAMHD1,EEF1A1,RPL21,RPL34,CD164,ABCA1,GJA4,FN1,RAC2
50,IGLC1,CTSD,RPS2,MYOC,MARCKS,UBC,COL14A1,RPL39,FN1,DUSP1,SLC40A1,NR2F2,IGF1,DUSP2
51,ENO1,TGFBI,SELENOM,CRISPLD2,FGF7,MIF,PLPP1,DDX5,RPS12,TREM1,CRLF1,ADGRF5,POSTN,ALOX5AP
52,RPS6,S100A4,SLC7A7,PODNL1,CCN5,CCL18,IGLC2,ATP5F1E,HSP90AA1,COL22A1,IFITM2,SHANK3,CFB,TIGIT
53,FCRL5,EEF1A1,SCD,FHL1,ACADS,CALR,SEC61G,NNMT,C1QB,PDPN,CTSD,FTL,BMP1,ARHGEF1
54,IGFBP4,NIBAN2,CTSS,APOD,GGT5,DPYSL2,COX7A2,CTSS,CTSB,ZNF385B,KCTD12,AOC3,ECM1,CCL5
55,RHOC,CDO1,CSF3R,ITGA11,CD14,CRIP1,SERPING1,CD99,CRTAC1,DEFB1,CTSC,RASIP1,TNFRSF19,ITGAL
56,ENG,CD9,MALAT1,CXCL12,FCGR2B,IGHG1,RPS2,MMP1,C1QC,COL1A2,RPS19,SYNPO2,HMCN1,CD69
57,FTH1,PFKP,RPL35A,MT-ND4,CTSH,SLC25A3,TIMP1,FAU,LRP1,RPL10,KDELR2,HSPG2,SFRP4,SNHG25
58,LDHA,CMPK1,RPL24,C1QTNF4,CALR,IGFBP4,MRPL16,RPS16,RPL21,CTSB,LGALS9,SEMA3G,PIEZO2,CLEC2D
59,PDK1,CYP1B1,CXCL1,SFRP1,RPS8,MS4A1,AHNAK,VKORC1,IGHG3,CXCL8,SLPI,PPP1R14A,FAM83D,PDCD1
60,ANXA1,VSIG4,CD47,CLU,SRPX,RPL30,AC010642.2,MALAT1,SPARC,NTN4,RPS15A,SLC9A3R2,ACTB,NLRC5
61,H3F3B,IFITM3,RPS18,SERPINA3,FAM20C,S100A9,ACTG1,MGP,RPS26,SLC2A12,CD209,SELENOW,CDK16,RPL6
62,HSPB1,LDHA,ABCC3,MT-ND1,PFKL,MAP4K1,SMIM3,FCGR3A,RACK1,PPP1R1A,HLA-DPA1,TM4SF1,GPC1,CARD11
63,SLAMF7,CD81,KCNMA1,CD9,TIMP1,SSR4,MT1H,OST4,RPLP0,AMTN,NAGA,NPDC1,ANGPTL2,CXCL10
64,PPIA,RPS8,S100A8,HLA-C,GSN,HLA-DRA,IRF7,RPL28,RPL18A,CHST2,ELN,MYL9,PCOLCE,UBD
65,WDR1,FTL,IGKC,DIO3OS,HLA-DQB1,C3,SPCS1,RPS20,SLC25A5,PROCR,FNDC1,TIE1,ISG15,CYTIP
